评论内容,地区,性别,粉丝数,关注数,用户发布微博数,评论时间,评论所属热搜,lstm_result,lstm_score
太荒唐了,河北,女,128,102,60,2025-06-27 20:56:28+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7599999904632568
太正常了 我听说过好多毕业就领退休金的,广东,女,307,202,202,2025-07-16 09:56:00+08:00,1岁工作22岁退休喜提69万退休金,中性,0.75
县城婆罗门,山东,男,163,158,59,2025-07-16 09:57:39+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6200000047683716
有这种工作要学会分享啊我好为后代准备,江苏,女,10688,505,10190,2025-07-16 09:57:10+08:00,1岁工作22岁退休喜提69万退休金,消极,0.7300000190734863
县城婆罗门很正常,河南,男,39,1539,251,2025-07-16 09:58:38+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6800000071525574
……不是说都不够发,河北,女,52,300,157,2025-07-16 09:58:26+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7400000095367432
呵呵呵,安徽,男,170,180,27,2025-06-27 08:24:00+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3400000035762787
要他们还回来,浙江,女,5,254,133,2025-07-16 10:11:59+08:00,1岁工作22岁退休喜提69万退休金,中性,0.2800000011920929
一定要追回我们的钱。,北京,女,205,522,2629,2025-07-16 10:09:06+08:00,1岁工作22岁退休喜提69万退休金,中性,0.33000001311302185
离谱,江苏,女,160,229,10289,2025-07-16 10:12:12+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
能每个地方都查吗？我相信每个不透明的小地方都有！,上海,女,3,167,387,2025-07-16 10:09:50+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
哦#山西蒲县疾控一职工1岁工作22岁退休#,湖北,女,291,2658,11890,2025-07-16 10:08:26+08:00,1岁工作22岁退休喜提69万退休金,积极,0.7699999809265137
哎呀我去，天方夜谭这不就来了,河南,男,617,426,2513,2025-07-16 09:58:47+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7599999904632568
养老金就是这么没了的,海南,女,74,155,383,2025-07-16 09:59:36+08:00,1岁工作22岁退休喜提69万退休金,中性,0.8999999761581421
这个影响xx吗,辽宁,男,38,138,67,2025-07-16 10:12:43+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7200000286102295
…,浙江,男,152,429,3036,2025-07-16 10:12:37+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
转发微博,北京,女,477,1936,5884,2025-07-16 10:11:55+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
太扯了吧,四川,女,332,820,748,2025-07-16 10:11:48+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7400000095367432
转发微博,上海,女,197,99,6121,2025-07-16 10:11:46+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
这套路马斯克熟,辽宁,男,32,311,951,2025-07-16 10:10:35+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3700000047683716
还笑对面200岁的,江苏,男,50,135,39,2025-07-16 10:09:40+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5099999904632568
如果你觉得太累了，是因为有人替你享受,浙江,男,556,464,753,2025-07-16 10:09:23+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9599999785423279
这种黑幕都不知道还有多少没被爆出来的,重庆,女,118,1668,418,2025-07-16 10:09:21+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
这人不抓起来么,北京,男,56,261,314,2025-07-16 10:08:45+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6800000071525574
“为打工而生”,广东,女,12,33,89,2025-07-16 10:08:43+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9100000262260437
正常,福建,女,49,42,0,2025-07-16 10:08:22+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3199999928474426
@Dodogo_o,四川,女,381,137,0,2025-07-16 10:05:44+08:00,1岁工作22岁退休喜提69万退休金,积极,0.47999998927116394
6,海外,女,39,259,1221,2025-07-16 10:04:04+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
@鸽子潮,湖南,男,471,316,877,2025-07-16 10:02:35+08:00,1岁工作22岁退休喜提69万退休金,中性,0.49000000953674316
呵呵,云南,男,566,5373,23564,2025-07-16 10:01:37+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
好离谱,山西,女,27,447,138,2025-07-16 10:00:52+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3400000035762787
66666好算盘,广东,女,4,1004,1410,2025-07-16 10:00:04+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4699999988079071
不止这一个吧？,上海,女,78,72,68,2025-07-16 09:59:56+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7099999785423279
真敢呀？,河南,女,248,1130,11178,2025-07-16 09:59:38+08:00,1岁工作22岁退休喜提69万退休金,积极,0.6899999976158142
又是我们,山西,男,221,705,506,2025-07-16 09:59:27+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5299999713897705
一个县都敢这样，可想而知,江苏,男,139,116,1294,2025-07-16 09:59:25+08:00,1岁工作22岁退休喜提69万退休金,积极,0.8799999952316284
怎么敢的！,四川,男,301,543,1764,2025-07-16 09:59:12+08:00,1岁工作22岁退休喜提69万退休金,积极,0.6000000238418579
也没什么处罚,安徽,男,123,401,4170,2025-07-16 09:59:10+08:00,1岁工作22岁退休喜提69万退休金,消极,0.699999988079071
转发微博,广东,男,520,888,7434,2025-07-16 09:58:50+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
唉,江苏,女,59,97,1487,2025-07-16 09:58:03+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
#山西蒲县疾控一职工1岁工作22岁退休# #山西蒲县疾控一职工1岁工作22岁退休# #山西蒲县疾控一职工1岁工作22岁退休#,天津,男,30,100,820,2025-07-16 09:57:51+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
不懂就问，需要这么多人嘛,河北,女,69,383,560,2025-07-16 09:57:01+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4399999976158142
山西嘛，正常,陕西,男,92,32,20,2025-07-16 09:56:08+08:00,1岁工作22岁退休喜提69万退休金,中性,0.41999998688697815
哈哈哈哈,湖南,男,7,128,12,2025-07-16 09:55:18+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
…,上海,女,214,5130,8943,2025-07-16 09:55:13+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
其实没必要报道、弄的好像很奇怪一样,浙江,男,28,27,21,2025-07-16 10:10:33+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5899999737739563
#山西蒲县疾控一职工1岁工作22岁退休# ？谁给办的能不能给我也办一个#现场直击#,浙江,男,11,34,9,2025-07-16 09:58:29+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
叫什么名字？什么职位？怎么不公开？,海外,女,68,225,5881,2025-07-16 09:57:08+08:00,1岁工作22岁退休喜提69万退休金,积极,0.699999988079071
惩罚呢？,湖南,女,343,678,1927,2025-07-16 10:12:56+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
严查！,四川,女,69,131,104,2025-07-16 10:12:23+08:00,1岁工作22岁退休喜提69万退休金,中性,0.41999998688697815
犯罪了吧,浙江,女,109,2250,12163,2025-07-16 10:12:18+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5899999737739563
应该不止篡改档案吧 某些便利应该孩子还没出生就已经安排进编占领岗位了吧,山东,女,317,259,1295,2025-07-16 10:10:46+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
驴得水？？？,安徽,男,28,54,30,2025-07-16 10:10:30+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4300000071525574
建议：限期自查，有违规主动退还，过期严办入狱。,北京,女,431,1428,13837,2025-07-16 10:09:48+08:00,1岁工作22岁退休喜提69万退休金,中性,0.800000011920929
前段时间说人美国300岁老人呢，看样子也是说人不如人呀。,海外,男,450,436,3669,2025-07-16 10:08:39+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
唐僧肉，是个小鬼就想咬一口，关键还确实能咬上。,山东,男,21,406,1095,2025-07-16 09:58:53+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5400000214576721
这不是犯罪吗？涉嫌诈骗，69万，够判刑了。,江苏,男,7,204,102,2025-07-16 09:57:59+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9800000190734863
山西特色啊，泥马狗山西真是越来越离谱了,天津,男,16,56,247,2025-07-16 09:57:39+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
和美国三百岁老人领养老金有异曲同工之妙🙊,天津,男,149,275,330,2025-07-16 09:57:17+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
这他妈比特朗普还离谱,湖南,男,32,93,10,2025-07-16 09:56:13+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4099999964237213
纳税人的钱去哪里了,湖南,女,46,312,1328,2025-07-16 09:55:48+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7400000095367432
跟美国差不多嘛，200岁还在领退休金,广东,男,787,363,13,2025-07-16 09:55:42+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
人豺,广东,男,509,139,9432,2025-06-27 04:52:41+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
不只要带大名，还要带工作单位，看看是哪个系统的关系户啊,湖北,男,543,2001,19989,2025-07-15 20:42:11+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
2.8w人偷了5e，这5e还只是400e的零头大头谁吃了,上海,男,159,503,2488,2025-07-16 07:10:25+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7799999713897705
所以是怎么过审的，审核部分和发放部门不追责吗？,上海,女,31457,1000,39313,2025-07-15 20:49:55+08:00,1岁工作22岁退休喜提69万退休金,中性,0.8899999856948853
一边不够，一边又狂拿是吧。。。,北京,女,204,401,13146,2025-07-15 21:44:12+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9900000095367432
热搜在哪里通报在哪里大名在哪里,广东,女,1059,470,3566,2025-07-15 21:24:10+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5299999713897705
我也想22岁退休,台湾,女,386,408,3540,2025-07-15 20:42:07+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
前阵子还笑话老美，,天津,男,228,82,285,2025-07-16 08:51:46+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9800000190734863
这难道不是有损国格吗,河南,女,263,1033,6621,2025-07-16 07:46:25+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
一边抱怨没有人养老，一边利用能利用的一切去占用别人的养老生命谋财害命真有你的,上海,男,83,309,15,2025-07-16 09:22:26+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
身边就有30多点就不上班一直领工资的，还有20多年没上过班占着编制到退休领退休金的。觉得自己天天那么辛苦好无助。,湖北,女,49,336,2834,2025-07-16 09:02:20+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
能不能实名制啊,安徽,女,351,1594,8197,2025-07-16 09:17:53+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3199999928474426
监守自盗的蛀虫,黑龙江,女,6,649,580,2025-07-16 09:38:03+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5600000023841858
@中国新闻网 带有真实姓名报道一下呢,海外,女,24,1654,3133,2025-07-16 09:28:17+08:00,1岁工作22岁退休喜提69万退休金,积极,0.8500000238418579
山西真是贴合刻板印象 敢不敢公布出来挪用详情啊,香港,女,36,1295,1408,2025-07-16 07:32:01+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
还以为美国从明代活到现在很牛逼了。没想到我们还有出生就能打工的天选牛马。,浙江,男,273,371,264,2025-07-16 09:39:31+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
就应该曝光一下扬我国威//@Sheona_Nickrick见过柠梨版:easy媒体//@半熟芝士吃不够:这种真正该曝光审判 而且确实违法犯罪的反而没有媒体去实名报道了啊,北京,男,17,311,2233,2025-07-16 03:56:54+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
我也想啊,广东,女,46,310,3000,2025-07-15 22:21:28+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3700000047683716
冰山一块罢了,河南,男,387,595,56,2025-07-16 09:40:32+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5899999737739563
移交纪委啊，直接操作人应该判刑，审批人应该定渎职罪,江苏,女,19,161,2305,2025-07-16 09:40:28+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
通报呢？单位呢？大名呢？全媒体报道呢？这下遮遮掩掩了？,海外,女,342,421,2634,2025-07-16 09:20:05+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
我交的钱,广东,男,160,183,1515,2025-07-16 08:58:54+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6899999976158142
还钱,云南,女,1113,1675,13426,2025-07-15 21:30:03+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5099999904632568
姓名，籍贯，单位之类麻烦也爆出来！敢贪污敢作假就得拉出来游街，游街完该赔钱赔钱，该坐牢坐牢，谢谢！这要放在朱元璋时期，还得剥皮萱草呢，现在已经很仁慈了,广东,女,92,198,3646,2025-07-16 10:10:10+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
@惊起一摊肥猫 @悦哒悦哒 我靠我看见这个我头皮发麻,北京,女,141,762,1552,2025-07-16 09:49:34+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
不懂就问，这个算有损国格吗@大连工业大学,西藏,女,72,728,378,2025-07-16 09:45:32+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6100000143051147
一岁是来不及了，我想现在退休领退休金行不行啊,安徽,女,16,377,1299,2025-07-16 09:42:47+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
我希望我能从妈妈还在姥姥肚子里的时候就开始算我的工龄,福建,女,86,119,425,2025-07-16 09:31:39+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9399999976158142
怎么处罚的？总该有人坐牢吧？？这不是最根本的严重事件吗？养老保险还要哭穷吗？？？,四川,男,304,1675,2572,2025-07-16 09:16:20+08:00,1岁工作22岁退休喜提69万退休金,中性,0.46000000834465027
山西每次出名都不是啥好事,山西,男,144,168,877,2025-07-16 09:01:05+08:00,1岁工作22岁退休喜提69万退休金,积极,0.7099999785423279
#1岁工作22岁退休# 简直是天才，霉一个适人,湖北,女,236,2261,1738,2025-07-16 00:46:32+08:00,1岁工作22岁退休喜提69万退休金,中性,0.75
这种好离谱啊,海外,女,39,696,1851,2025-07-15 21:52:06+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
怎么过审的，审核部分和发放部门不追责吗？,海外,女,1422994,744,74130,2025-07-16 09:49:26+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7200000286102295
热搜不说了嘛1岁工作22岁“退休”，估计这些时日人已经“安息”了！,海外,女,29325,16,613,2025-07-16 09:45:20+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
离谱的不是「1岁工作22岁退休」而是『层层过审』,北京,男,1908911,478,26289,2025-07-16 09:40:23+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7699999809265137
绝了绝了,海外,女,42,288,92,2025-07-16 09:29:42+08:00,1岁工作22岁退休喜提69万退休金,中性,0.8899999856948853
这合理吗,浙江,女,20377,291,1043,2025-07-16 10:06:09+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5199999809265137
1岁工作，活到360岁,北京,男,67,201,28,2025-07-16 09:52:08+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
#1岁工作22岁退休喜提69万退休金# 查到最后都是官员家属，普通人没这能力。,上海,女,243479,92,6372,2025-07-16 09:48:43+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
姓名都通报一下啊,重庆,女,2561,302,9486,2025-07-16 09:46:48+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7599999904632568
家族传承吾辈责嘛，要是去网吧上班哪有时间多泡几个开枝散叶,四川,男,452,565,19423,2025-07-16 09:46:32+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
那我这么多年交的社保算什么,四川,女,481,2716,7315,2025-07-16 09:45:35+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
怎么会这么贱啊,四川,女,295,136,6291,2025-07-16 09:43:55+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3700000047683716
被谁 25省份呢不写清楚点,新疆,男,250,3361,24530,2025-07-16 09:41:24+08:00,1岁工作22岁退休喜提69万退休金,积极,0.699999988079071
立了个大谱,广东,女,10405,220,1070,2025-07-16 09:41:08+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5699999928474426
这怎么不是输在起跑线上呢？我大学还没毕业，别人已经退休了#1岁工作22岁退休#,上海,女,726,438,59275,2025-07-16 09:40:46+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
啧啧啧,广西,女,240,418,1261,2025-07-16 09:39:31+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
是人话吗？怎么连起来我都要看不懂了，腐败到这种地步吗,安徽,男,64,159,317,2025-07-16 09:34:25+08:00,1岁工作22岁退休喜提69万退休金,积极,0.7200000286102295
前同事82年出生的  15岁就开始交社保了如何呢,宁夏,男,84,165,472,2025-07-16 09:34:15+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
有没有可能是个假人,浙江,男,736077,613,20409,2025-07-16 09:33:56+08:00,1岁工作22岁退休喜提69万退休金,消极,0.8500000238418579
我交的钱啊哎,广东,女,782,412,6926,2025-07-16 09:30:46+08:00,1岁工作22岁退休喜提69万退休金,中性,0.8600000143051147
今年社保又贵了 又要补交 这么国库空虚吗 钱去这些人手里了,浙江,女,24600,291,631,2025-07-16 09:30:45+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9900000095367432
这样的蛆虫不知道有多少呢，曝不完的,云南,女,8,103,6,2025-07-16 09:28:35+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5600000023841858
@恋爱脑袋小志志,陕西,女,216,94,222,2025-07-16 09:28:16+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4000000059604645
有蛀虫肯定不够啊,海外,男,2630,27,12073,2025-07-16 09:27:24+08:00,1岁工作22岁退休喜提69万退休金,中性,0.47999998927116394
这不和美国查的那种二三百岁老人一样了吗,辽宁,女,289,399,3772,2025-07-16 09:27:12+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
东北原本那种编制单位的，去查查好多都是提早办理病退的,浙江,女,234,649,463,2025-07-16 09:19:38+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
钱不缺，无非是发给谁,湖北,男,307,107,489,2025-07-16 09:19:34+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9300000071525574
@要快乐的水蜜桃,江苏,女,167,116,5823,2025-07-16 07:46:19+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5299999713897705
这种不配拥有个带大名热搜吗,安徽,女,558,872,6822,2025-07-15 21:40:17+08:00,1岁工作22岁退休喜提69万退休金,积极,0.699999988079071
怪不得养老金不够用，怎么没有早点查出来，这个算法能不能加入Ai计算检查，就不会弄假吧,重庆,女,431,1206,4793,2025-07-16 09:52:35+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
这和马斯克上半年爆出来的美国300岁老人有啥区别············,山东,男,1397,865,197,2025-07-16 09:48:55+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9700000286102295
老中老美真是一辈子的好朋友,安徽,男,146,238,638,2025-07-16 09:46:15+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9900000095367432
之前还觉得漂亮国的300岁领退休金奇幻……,辽宁,男,170,347,521,2025-07-16 09:42:02+08:00,1岁工作22岁退休喜提69万退休金,积极,0.6000000238418579
严查严惩，不然显得我们这些打工人像个傻子,福建,男,99,465,1226,2025-07-16 09:37:55+08:00,1岁工作22岁退休喜提69万退休金,中性,0.949999988079071
前几个月还在嘲笑美国呐,内蒙古,男,108,39,204,2025-07-16 09:29:31+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9100000262260437
这不也是贪污吗？每年的审计 年底清算怎么算的呢？,上海,女,628,2752,9083,2025-07-16 09:28:26+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6000000238418579
体制内的“含金量”还在上升,湖北,女,11,92,524,2025-07-16 09:26:16+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9100000262260437
多了去了，你就查吧，一查一个不吱声,河北,女,452,42,393,2025-07-16 09:26:04+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9100000262260437
前段时间还在笑美国,安徽,女,31,377,2,2025-07-16 09:06:48+08:00,1岁工作22岁退休喜提69万退休金,积极,0.8999999761581421
《喜提》还挺骄傲,江苏,女,384,734,558,2025-07-16 10:13:49+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5
怪不得年年涨，,广东,男,8,57,8,2025-07-16 10:11:41+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6600000262260437
谁啊谁啊  放出大名看看,广东,女,237,892,18273,2025-07-16 10:11:02+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9300000071525574
6,山东,男,2474,855,1020,2025-07-16 10:11:02+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
这种贪别人血汗钱的就该判死刑,北京,女,62,492,139,2025-07-16 10:07:51+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7699999809265137
我老公老问我为啥人家那么有钱，干啥挣的，我现在知道了，人家用头脑挣得，这种事我划破脑袋我也想不到的事啊，我就是四肢发达头脑简单的人,黑龙江,女,136,326,7,2025-07-16 10:06:11+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
吃公粮的就是好,浙江,女,67,191,69,2025-07-16 10:05:23+08:00,1岁工作22岁退休喜提69万退休金,中性,0.46000000834465027
离谱 太离谱了！,广东,女,186,139,104,2025-07-16 10:03:33+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7799999713897705
哈哈哈,山东,女,85,264,206,2025-07-16 10:02:18+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
政府是他家，养老靠大家~~~,四川,女,1,62,249,2025-07-16 10:00:49+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6499999761581421
好大胆子,广东,女,28454,175,2798,2025-07-16 10:00:36+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5
层层过审了 呵呵 400e够发展教育 医疗了 需要的人没老养 不需要的小人又养老又有薪酬 乖乖 气死我了,安徽,女,141,90,754,2025-07-16 10:00:03+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
离谱到家了,安徽,女,344,60,864,2025-07-16 09:59:11+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5899999737739563
建议翻三倍赔偿,北京,女,193,188,2460,2025-07-16 09:58:55+08:00,1岁工作22岁退休喜提69万退休金,中性,0.44999998807907104
偷盗将几辈子贫穷报啊,上海,女,17,414,504,2025-07-16 09:58:44+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5099999904632568
冰山一角，当你发现一只蟑螂的时候……,湖北,男,251,342,524,2025-07-16 09:57:30+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9900000095367432
回复@野生歌王:我们只能看到别人想让我们看到的东西,广东,男,290,246,375,2025-07-16 09:57:17+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
所以才养老金不够的,海南,女,74,155,383,2025-07-16 09:55:23+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6100000143051147
敢不敢把所有信息爆出来,北京,女,10,73,26,2025-07-16 09:55:13+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9900000095367432
与米国民众手牵手共唱“同一个世界”,四川,男,486,775,3,2025-07-16 09:54:30+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9700000286102295
这事不仅仅只是退款就了事吧，应该以贪污定罪入刑,广东,男,131,548,130,2025-07-16 09:54:15+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9900000095367432
这个6啊  上辈子的也算上了  上辈子投的是人吗,江苏,女,112,276,102,2025-07-16 09:53:52+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6499999761581421
这种是怎么层层，一层一层都顺利过的,河北,女,393,1045,1343,2025-07-16 09:53:48+08:00,1岁工作22岁退休喜提69万退休金,积极,0.4699999988079071
冰山一角,河北,男,10,431,6061,2025-07-16 09:53:41+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4699999988079071
普通人说好15年，一下给你整20年,安徽,女,162,1493,1172,2025-07-16 09:53:38+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9800000190734863
转发微博,安徽,女,4,68,236,2025-07-16 09:53:19+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
社保还交吗,江苏,男,234,424,46,2025-07-16 09:53:12+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4399999976158142
