评论内容,地区,性别,粉丝数,关注数,用户发布微博数,评论时间,评论所属热搜,lstm_result,lstm_score
就这样玩  还想让我交社保？,河北,女,200,277,935,2025-07-16 09:53:05+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4300000071525574
谁能来说说怎么操作的？,江苏,男,66,185,107,2025-07-16 09:53:02+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3700000047683716
我滴个天！这真的是旱的旱死涝的涝死,山东,女,1029,121,16828,2025-07-16 09:52:52+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6700000166893005
奈何取之尽锱铢，用之如泥沙,广东,男,876,467,1814,2025-07-16 09:52:49+08:00,1岁工作22岁退休喜提69万退休金,中性,0.8100000023841858
普通人勤勤恳恳都赚不到这么多 这些人随随便便就能拿到这么多 不要太离谱,广东,男,96,1801,124,2025-07-16 09:52:39+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
之前还嘲笑美国那边 现在轮到我们的社保了 自己缴费的最清楚 每年都在涨 但是不知道为什么涨 二月份还要我们补交2000块 也不明白为什么要交2000块#1岁工作22岁退休# #社保#,广东,女,527,529,24814,2025-07-16 09:52:32+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
转发微博,广东,男,780,3210,10854,2025-07-16 09:52:32+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
历史重演,江西,男,245,464,79,2025-07-16 09:52:26+08:00,1岁工作22岁退休喜提69万退休金,积极,0.4300000071525574
退钱，坐牢,广东,女,483,206,15,2025-07-16 09:52:23+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5299999713897705
水还是太浑了,海外,女,304,340,519,2025-07-16 09:52:03+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9100000262260437
都是我们交的钱,安徽,男,126,549,707,2025-07-16 09:52:04+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6000000238418579
@中国新闻网 发一下全名和工作单位。,北京,女,60,250,1390,2025-07-16 09:52:01+08:00,1岁工作22岁退休喜提69万退休金,中性,0.550000011920929
天选之子出现了，22岁22年工作经验,浙江,男,90,197,133,2025-07-16 09:51:46+08:00,1岁工作22岁退休喜提69万退休金,积极,0.8799999952316284
想问下 都这么多天了怎么才上热搜，能不能以后把这些冒领的人的名单基本信息都放上来。,内蒙古,女,410,87,2341,2025-07-16 09:51:21+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
不能带名，网友会深挖，怕,浙江,男,2325,272,662,2025-07-16 09:51:18+08:00,1岁工作22岁退休喜提69万退休金,积极,0.7300000190734863
所以说现在年轻人不愿意每月缴纳社保啊,广东,男,153,220,59,2025-07-16 09:50:54+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6000000238418579
支持开盲盒正想输出,广东,女,175,149,2792,2025-07-16 09:50:50+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9599999785423279
这不能只审计出来就完事了吧，是不是要追责，追回，判刑？,河北,女,8,34,737,2025-07-16 09:50:49+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
转发微博,北京,女,18,879,23439,2025-07-16 09:50:39+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
蛀虫寄生虫,河南,男,716,609,999,2025-07-16 09:50:31+08:00,1岁工作22岁退休喜提69万退休金,中性,0.41999998688697815
社保不敢交了之前1100一个月 现在1700一个月亚历山大原来都被1岁小孩拿走了,海外,男,447,1039,6104,2025-07-16 09:50:30+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
转发微博,广东,男,143,56,4830,2025-07-16 09:50:24+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
有个新疆的朋友，不用去上班每个月拿一万多的工资。只需要偶尔去开一下会就好了，她自己在做小生意，挂名在她老公单位,广东,女,312,762,1697,2025-07-16 09:50:12+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
呵呵,湖北,女,0,358,3221,2025-07-16 09:50:10+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
不能提,海外,男,953,1199,4422,2025-07-16 09:50:10+08:00,1岁工作22岁退休喜提69万退休金,中性,0.41999998688697815
ta都有养老金了 还在工作 好上进啊😹,天津,男,105,350,2530,2025-07-16 09:50:01+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7799999713897705
原来这就是有权人的人生,上海,女,24,74,141,2025-07-16 09:49:58+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4300000071525574
回复@陈大刚的刚是刚柔并济的刚:不要学会计，学会计的现在好难就业,浙江,女,83,87,28,2025-07-16 09:49:57+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
后续呢,河南,女,275,392,1297,2025-07-16 09:49:52+08:00,1岁工作22岁退休喜提69万退休金,中性,0.49000000953674316
驴得水,广东,女,67,57,406,2025-07-16 09:49:00+08:00,1岁工作22岁退休喜提69万退休金,中性,0.44999998807907104
TNN个腿！查出来逮一个杀一个，看谁还敢！,辽宁,女,81,517,3317,2025-07-16 09:48:56+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9200000166893005
好幸福啊，22岁就能退休了,江苏,女,214,1543,1044,2025-07-16 09:48:51+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
关我屁事，反正我就算死了也不会把钱给我,广东,男,27,89,30,2025-07-16 09:48:50+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9900000095367432
蛀虫，杀无赦！,山东,女,43,544,2819,2025-07-16 09:48:49+08:00,1岁工作22岁退休喜提69万退休金,中性,0.550000011920929
这个才是真正的有辱国格了。,四川,男,1033,426,3250,2025-07-16 09:48:45+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5299999713897705
什么年代了，为什么还会有这样的事发生呀,浙江,女,17,305,108,2025-07-16 09:48:45+08:00,1岁工作22岁退休喜提69万退休金,消极,0.7400000095367432
先缩编减人增效吧,重庆,女,50,80,21,2025-07-16 09:48:04+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5899999737739563
感觉有点不可思议，退休后不是每年要审那个证吗,四川,女,144,166,7282,2025-07-16 09:48:02+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
蛀虫，顶上去，全部端,广东,男,60,393,104,2025-07-16 09:47:59+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5899999737739563
2025年了还能允许这样？？？,北京,女,401,842,279,2025-07-16 09:47:52+08:00,1岁工作22岁退休喜提69万退休金,积极,0.8100000023841858
哇哦,上海,女,210,226,6653,2025-07-16 09:47:44+08:00,1岁工作22岁退休喜提69万退休金,积极,0.44999998807907104
所以呢，有死了还拿的，有拿多份的，有年龄对的上但完全没工作过就拿的，有从出生开始就造假的，这个钱是个无底的窟窿，再多都不够,四川,女,45,60,110,2025-07-16 09:47:26+08:00,1岁工作22岁退休喜提69万退休金,消极,1.0
这不得放大名贴照片，性质太恶劣了,福建,女,365,788,26908,2025-07-16 09:47:22+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9700000286102295
@央视新闻,江苏,女,38,16,499,2025-07-16 09:47:17+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3799999952316284
丧心病狂,安徽,男,107,89,3,2025-07-16 09:47:13+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6200000047683716
这些钱能不能吐回来？？,四川,女,140,229,989,2025-07-16 09:47:07+08:00,1岁工作22岁退休喜提69万退休金,消极,0.550000011920929
还有什么是真的！！！感觉偷了我的钱,福建,女,32,175,62,2025-07-16 09:47:04+08:00,1岁工作22岁退休喜提69万退休金,中性,0.49000000953674316
要求带大名，返还领取的养老金，还有现在的工作单位辞退他,河南,女,6,56,8,2025-07-16 09:46:59+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
@周周周一呐,湖南,男,63,360,112,2025-07-16 09:46:52+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5799999833106995
前两天还笑隔壁老米，回旋镖这么快就抽回来了，真就太阳底下无新鲜事,安徽,女,54,24,7,2025-07-16 09:46:41+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
这新闻能上热搜？,山东,男,52,91,9,2025-07-16 09:46:38+08:00,1岁工作22岁退休喜提69万退休金,中性,0.33000001311302185
这个要判刑吧,北京,女,398,672,9897,2025-07-16 09:46:26+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
大早上看到这个被气晕,广东,男,46,137,269,2025-07-16 09:46:16+08:00,1岁工作22岁退休喜提69万退休金,中性,0.800000011920929
大早上要被气晕,广东,男,46,137,269,2025-07-16 09:45:48+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7300000190734863
服了,海南,女,1192,71,1291,2025-07-16 09:45:35+08:00,1岁工作22岁退休喜提69万退休金,中性,0.49000000953674316
连着上辈子的钱一块赚是吧,北京,男,1144,2144,2121,2025-07-16 09:45:34+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4699999988079071
应该查查他爸爸妈妈是谁？什么职务？爷爷奶奶姥姥姥爷什么职务？,河北,女,57,238,334,2025-07-16 09:45:33+08:00,1岁工作22岁退休喜提69万退休金,中性,0.44999998807907104
u pu p,山东,女,273,766,311,2025-07-16 09:45:30+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3700000047683716
@ethy-eth,河南,女,60301,176,1124,2025-07-16 09:45:29+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4399999976158142
转发微博,台湾,男,333,192,26173,2025-07-16 09:45:11+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
转发微博,浙江,男,381,899,2076,2025-07-16 09:44:59+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
追责吧,吉林,女,154,148,798,2025-07-16 09:44:55+08:00,1岁工作22岁退休喜提69万退休金,积极,0.46000000834465027
马斯克:我来辣,天津,男,5204,843,1309,2025-07-16 09:44:45+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3499999940395355
满门抄斩吧,黑龙江,男,89,261,418,2025-07-16 09:44:44+08:00,1岁工作22岁退休喜提69万退休金,中性,0.47999998927116394
娱乐圈的瓜已经是最小的了 别的圈.....,黑龙江,女,971,544,353,2025-07-16 09:44:37+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
前方吃紧，后方紧吃。云飞兄诚不欺我,天津,男,166,315,1467,2025-07-16 09:44:29+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
真的没救了,广东,女,138,594,185,2025-07-16 09:44:19+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5699999928474426
这时候怎么不报全名了？,四川,女,505,819,4173,2025-07-16 09:44:07+08:00,1岁工作22岁退休喜提69万退休金,中性,0.8500000238418579
真的假的？想起年初美国有几百岁老人还领退休金的，是不是一样道理？,广东,女,143,116,588,2025-07-16 09:44:07+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
@央视新闻,新疆,女,4315,569,302,2025-07-16 09:44:00+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3799999952316284
比马斯克查出的300岁还离谱,广东,男,8,403,1759,2025-07-16 09:43:56+08:00,1岁工作22岁退休喜提69万退休金,积极,0.4399999976158142
这跟老美200岁还在领退休金一个道理,四川,男,71,122,220,2025-07-16 09:43:52+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
真是对这个世界刷新了三观,安徽,女,277,224,1489,2025-07-16 09:43:49+08:00,1岁工作22岁退休喜提69万退休金,积极,0.6800000071525574
所以今年凭啥基数还上涨这么多,浙江,女,92,502,23,2025-07-16 09:43:43+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
难怪浙江的社保每年都在涨，今年又要开始了,浙江,女,67,110,74,2025-07-16 09:43:36+08:00,1岁工作22岁退休喜提69万退休金,积极,0.949999988079071
所以这就是为什么我们社保一直涨的原因呢吧,江西,女,149,83,1259,2025-07-16 09:43:34+08:00,1岁工作22岁退休喜提69万退休金,中性,0.23000000417232513
无语了,广东,女,293,228,69,2025-07-16 09:43:17+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6499999761581421
查到一定程度就会有替罪羊出来了,江苏,男,53,254,40,2025-07-16 09:43:13+08:00,1岁工作22岁退休喜提69万退休金,中性,0.47999998927116394
这是纯技术能做到的吗,广东,女,220,51,1298,2025-07-16 09:43:12+08:00,1岁工作22岁退休喜提69万退休金,中性,0.28999999165534973
多么黑暗啊  那是我们80.90孩子的血汗钱啊,河南,男,393,114,1997,2025-07-16 09:43:04+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
这就是一直被压的事情之一,山东,女,27,313,50,2025-07-16 09:42:55+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9700000286102295
有没有追回，追回了多少；谁干的，判了几年，这不得出份警情通报？,浙江,男,4,77,36,2025-07-16 09:42:46+08:00,1岁工作22岁退休喜提69万退休金,消极,0.8700000047683716
对啊，姓啥叫啥哪单位的，父母是啥单位的，男的女的，现在还领钱呢么？说明白啊！,河北,女,4,21,112,2025-07-16 09:42:30+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
这个严查应该查出来一串人吧,重庆,女,148,273,1779,2025-07-16 09:42:29+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9399999976158142
卧槽！！！！可恶！！！！,江苏,女,163,79,437,2025-07-16 09:42:14+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
既然要这样何必多此一举 直接造几个不存在的人在那里 吃空响得了 何必生一个出来，胆大包天的玩意，这和上班从银行偷钱回来 有啥区别，一打开金库 都被蛀虫搬空了,西藏,男,257,1017,1503,2025-07-16 09:42:12+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
妈的个，真的没意思！,江苏,女,776,729,3356,2025-07-16 09:41:34+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4399999976158142
这得严查吧,江西,女,96,128,289,2025-07-16 09:41:31+08:00,1岁工作22岁退休喜提69万退休金,中性,0.46000000834465027
太可怕了，反腐工作继续抓,北京,男,98,649,86,2025-07-16 09:40:47+08:00,1岁工作22岁退休喜提69万退休金,中性,0.8199999928474426
这个钱退的回来嘛,江苏,男,6,249,22,2025-07-16 09:40:42+08:00,1岁工作22岁退休喜提69万退休金,中性,0.5799999833106995
前几天嘲笑美国三百岁还在领退休金的人在哪里,浙江,男,62,588,741,2025-07-16 09:39:37+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
看来美国300岁的领退休金还是太保守了,云南,男,105,76,2,2025-07-16 09:39:26+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
吃相太TM难看了,湖南,男,252,1781,5589,2025-07-16 09:39:12+08:00,1岁工作22岁退休喜提69万退休金,中性,0.47999998927116394
造假都不带脑子了,山东,女,5,5,117,2025-07-16 09:39:06+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9200000166893005
这不带名字么,广东,女,181,1008,6738,2025-07-16 09:39:00+08:00,1岁工作22岁退休喜提69万退休金,中性,0.4000000059604645
转发微博,上海,女,25,135,799,2025-07-16 09:38:50+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
叫他们谁领的吐出来给我们,广东,女,72,294,52,2025-07-16 09:38:47+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9399999976158142
这样吧，你的这个事儿啊，我们讲不是说，不是说不办，但是呢，没有说啊，没有任何一件事情我们说，说一定怎么怎么样，说不行吧他也不是，我们讲，事在人为啊，我们可以想办法，可以想办法啊，这个，你这样晚一点儿，晚一咱们到时候呢，对吧，我这个，对吧，这个，包括，诶呀我这个，到时候你看一看，对,广东,男,467,504,438,2025-07-16 09:38:40+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
我山西又要上大分了！！！,山西,男,41,170,682,2025-07-16 09:38:17+08:00,1岁工作22岁退休喜提69万退休金,中性,0.949999988079071
@Ye_C26 ？？？？,湖南,男,288,281,263,2025-07-16 09:38:16+08:00,1岁工作22岁退休喜提69万退休金,积极,0.800000011920929
妈的！,北京,女,342,390,3120,2025-07-16 09:38:12+08:00,1岁工作22岁退休喜提69万退休金,积极,0.41999998688697815
#1岁工作22岁退休#    来来来报上这个“天才”的姓名以及工作单位//@回锅肉为什么放大葱呢:拿女学生的事盖69万的热度，一直都是这么操作的，哪天有什么不利的消息出来，马上就安排别的来盖//@野生歌王:我看了一下澎湃上个月末就发了，这种新闻估计很多人都不知道，但是女学生的私事要大张旗鼓满世界宣 ...全文,内蒙古,女,32,217,8833,2025-07-16 09:37:26+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
强制缴纳社保就是这么来用的哈。,北京,男,656,278,8,2025-07-16 09:37:19+08:00,1岁工作22岁退休喜提69万退休金,中性,0.47999998927116394
每个地方都有那么一群蛀虫,浙江,女,199,484,13,2025-07-16 09:37:17+08:00,1岁工作22岁退休喜提69万退休金,积极,0.9200000166893005
终于知道为什么退休金不够了,四川,男,8,131,12,2025-07-16 09:37:13+08:00,1岁工作22岁退休喜提69万退休金,积极,0.8700000047683716
太多地方有这种黑暗的地方，能吃空你,浙江,男,857,307,6141,2025-07-16 09:37:10+08:00,1岁工作22岁退休喜提69万退休金,积极,0.6800000071525574
这对么,广西,女,0,33,176,2025-07-16 09:37:07+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
一岁工作 22岁退休 这不是开国际玩笑吧,海外,男,813,405,2593,2025-07-16 09:36:59+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
400亿是什么天文数字我幻想中彩票都只敢幻想100万,广东,女,261,199,235,2025-07-16 09:36:52+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
转发微博,江苏,女,69,414,762,2025-07-16 09:36:49+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
这帮老东西怎么不赶紧去死,辽宁,男,73,973,169,2025-07-16 09:36:31+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9599999785423279
这种事情能查出来绝对不是个例~早就有很多人这么干了,云南,女,3,41,334,2025-07-16 09:36:27+08:00,1岁工作22岁退休喜提69万退休金,中性,0.9900000095367432
所以呀，提倡我们这些牛马们要想养老，就得交20年的养老保险，每个政策的背后都是为了弥补更大的窟窿,山东,女,196,32,367,2025-07-16 10:07:36+08:00,1岁工作22岁退休喜提69万退休金,中性,0.800000011920929
看得人尸体暖暖的…#1岁工作22岁退休喜提69万退休金#,广东,男,7,10,11,2025-07-16 10:06:54+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
天天搁这儿喊亏空没钱，这样能有钱吗？逮着普通老板姓使劲割韭菜，这些人不公开进局子吗,湖北,女,6,76,492,2025-07-16 10:06:22+08:00,1岁工作22岁退休喜提69万退休金,中性,1.0
放屁,广东,男,33,208,85,2025-07-16 08:03:59+08:00,开空调最好别低于这个温度,中性,0.33000001311302185
看你所在的环境人群密度和空间大小……有的地方26度都冷，有的地方你开17度依然热（比如 人太多）,重庆,女,1860,734,30484,2025-07-16 09:30:06+08:00,开空调最好别低于这个温度,积极,1.0
26度直接室外吹去吧，别开空调了,甘肃,女,203,795,1006,2025-07-16 09:35:11+08:00,开空调最好别低于这个温度,中性,0.5199999809265137
我爱点多少度就点多少度,辽宁,男,319,233,590,2025-07-16 09:36:55+08:00,开空调最好别低于这个温度,中性,0.8500000238418579
#开空调最好别低于这个温度#  如何预防空调病？医生建议： ①不要在开空调的房间里待很长时间，要经常打开门窗，通风换气； ②合理调整室内温度，一般不低于26℃； ③冷风不能直接吹颈椎、后背、膝关节等部位； ④大汗淋漓时不要直接吹冷风。#中医解释什么是空调病#,河南,女,4157,1260,6909,2025-07-16 09:40:43+08:00,开空调最好别低于这个温度,积极,1.0
这个医院说的，我不听,北京,男,37096,2004,15413,2025-07-16 10:04:56+08:00,开空调最好别低于这个温度,中性,0.8199999928474426
27度都冷,四川,男,11542,317,1949,2025-07-16 09:59:45+08:00,开空调最好别低于这个温度,中性,0.550000011920929
一个中国的医院能叫“中日友好”本身就够抽象了信这样出来放屁的专家就更抽象了,广东,男,29,49,26,2025-07-16 09:48:19+08:00,开空调最好别低于这个温度,积极,1.0
28度，翻来覆去不用盖肚子,广东,男,337,224,1989,2025-07-16 10:03:31+08:00,开空调最好别低于这个温度,积极,0.5199999809265137
#开空调最好别低于这个温度#,北京,男,10958846,326,62887,2025-07-16 09:53:55+08:00,开空调最好别低于这个温度,积极,0.7200000286102295
其实26度热的要鼠哈,四川,男,1319,796,1442,2025-07-16 09:48:46+08:00,开空调最好别低于这个温度,积极,0.6200000047683716
猫不错,湖北,男,377,490,23,2025-07-16 00:23:23+08:00,开空调最好别低于这个温度,中性,0.44999998807907104
果然 我已经吹感冒了,河南,男,107,432,3625,2025-07-15 22:48:53+08:00,开空调最好别低于这个温度,中性,0.9599999785423279
//@一巴掌打四个人的美艳大小姐:中日友好医院就别出来露脸了……是不是觉得这医院的招牌还没被砸碎啊,福建,男,172955,4601,17739,2025-07-16 09:40:01+08:00,开空调最好别低于这个温度,积极,1.0
太热了，没办法,陕西,女,9,129,2359,2025-07-16 08:36:29+08:00,开空调最好别低于这个温度,中性,0.9599999785423279
早安,重庆,女,42,79,211,2025-07-16 07:23:01+08:00,开空调最好别低于这个温度,中性,0.5
【#开空调最好别低于这个温度#】 人们长期在空调冷风环境下工作和生活，出现头晕、头痛、食欲不振、发热咳嗽、关节酸痛等，都是“空调病”的临床表现，老年人、婴幼儿、孕妇，以及慢病人群更应注意。,四川,女,58514,333,11872,2025-07-16 10:10:12+08:00,开空调最好别低于这个温度,积极,1.0
我一直18度,广东,男,622,296,2049,2025-07-16 10:07:05+08:00,开空调最好别低于这个温度,中性,0.6299999952316284
我开29度,广东,女,227,304,9653,2025-07-16 10:05:47+08:00,开空调最好别低于这个温度,中性,0.47999998927116394
转发微博,上海,男,1028,2988,12998,2025-07-16 10:01:02+08:00,开空调最好别低于这个温度,中性,0.36000001430511475
你医锤子 有本事把你父母医活,四川,男,136,495,1824,2025-07-16 09:56:43+08:00,开空调最好别低于这个温度,积极,0.9900000095367432
#中医解释什么是空调病# #开空调最好别低于这个温度# 涨知识,浙江,男,20384,657,2696,2025-07-16 09:55:47+08:00,开空调最好别低于这个温度,中性,0.8600000143051147
首先，你得看你家空调买了几年了，其次你得看你在多大的屋子待着，有多少人在这间屋子……,北京,女,183,299,4188,2025-07-16 09:53:50+08:00,开空调最好别低于这个温度,积极,1.0
转发微博,北京,女,18,879,23439,2025-07-16 09:50:58+08:00,开空调最好别低于这个温度,中性,0.36000001430511475
苏叶 是指 紫苏叶吗,江苏,女,934,2424,24299,2025-07-16 08:32:08+08:00,开空调最好别低于这个温度,中性,0.3499999940395355
晚安,广东,女,111,531,9860,2025-07-15 22:23:22+08:00,开空调最好别低于这个温度,中性,0.46000000834465027
@Li-X瓜,海外,女,1792,78,871,2025-07-16 10:13:40+08:00,开空调最好别低于这个温度,中性,0.3499999940395355
不低于26度？深圳不开抽湿（19度）能活是吗？专家死开,广东,女,5256,2257,11503,2025-07-16 10:11:18+08:00,开空调最好别低于这个温度,积极,1.0
夏天还是要多多注意,浙江,女,20377,291,1043,2025-07-16 10:07:31+08:00,开空调最好别低于这个温度,中性,0.6399999856948853
26度空调出臭味怎么说,北京,女,5878270,1462,11587,2025-07-16 10:07:27+08:00,开空调最好别低于这个温度,中性,0.7599999904632568
在我家26度跟没开一样 别放屁了,上海,女,2197,113,877,2025-07-16 10:02:28+08:00,开空调最好别低于这个温度,积极,0.6299999952316284
昨晚开26度，直接热醒了,海南,女,104,165,2737,2025-07-16 10:01:53+08:00,开空调最好别低于这个温度,中性,0.9200000166893005
那些说26度热的，要么空调设置的不对，要么空调制冷有问题,安徽,女,1,70,25,2025-07-16 09:31:29+08:00,开空调最好别低于这个温度,中性,0.5899999737739563
26度我都嫌冷 可能真的老了,上海,女,54,5,3985,2025-07-16 09:29:06+08:00,开空调最好别低于这个温度,中性,0.8100000023841858
你得看空调啊！我家空调开27度都觉得冷 我妈家空调开25度我都能出汗,浙江,男,772,362,194,2025-07-16 10:12:34+08:00,开空调最好别低于这个温度,积极,1.0
26度也很冷 我都开28,北京,女,11,82,344,2025-07-16 09:50:21+08:00,开空调最好别低于这个温度,中性,0.550000011920929
天天晚上25度到天亮,广东,男,340,227,496,2025-07-16 09:48:35+08:00,开空调最好别低于这个温度,中性,0.6800000071525574
别建议了，先去生活吧。外边四十多度，空调开到20°，屋里都不凉。说啥屁话呢,河南,女,359,626,1807,2025-07-16 09:35:30+08:00,开空调最好别低于这个温度,积极,1.0
老子爱开几度开几度,江苏,女,253,959,393,2025-07-16 09:32:00+08:00,开空调最好别低于这个温度,积极,0.7799999713897705
滚,海外,男,390,515,4231,2025-07-16 10:14:52+08:00,开空调最好别低于这个温度,中性,0.3499999940395355
这个b医院是出来讨骂的吗？,重庆,男,83,373,702,2025-07-16 10:14:19+08:00,开空调最好别低于这个温度,中性,0.8899999856948853
晚上睡觉 28度,福建,女,16,48,9,2025-07-16 10:13:14+08:00,开空调最好别低于这个温度,中性,0.7599999904632568
“②合理调整室内温度，一般不低于26℃；”这条放我们这里属于是夏天吹热风了哈,云南,女,37,211,1666,2025-07-16 10:13:09+08:00,开空调最好别低于这个温度,积极,1.0
夏天了空调专家又出来了,山东,男,160,515,1552,2025-07-16 10:13:04+08:00,开空调最好别低于这个温度,中性,0.9900000095367432
