评论内容,地区,性别,粉丝数,关注数,用户发布微博数,评论时间,评论所属热搜,lstm_result,lstm_score
重庆晚上房子墙都是热的，26度都降不下来温，这些专家能不能闭嘴,重庆,女,1022,782,21626,2025-07-16 10:12:51+08:00,开空调最好别低于这个温度,中性,1.0
转发微博,北京,女,477,1936,5884,2025-07-16 10:12:25+08:00,开空调最好别低于这个温度,中性,0.36000001430511475
每个人不一样，有的人开20度盖棉被睡，有的人开28度不盖被子睡，都很凉快,江苏,男,27,291,205,2025-07-16 10:10:53+08:00,开空调最好别低于这个温度,积极,1.0
拉倒吧，我家空调开26冻死人要开到27，公司空调开到26一点感觉都没有，还开个风扇热死了,广东,女,249,168,954,2025-07-16 10:10:38+08:00,开空调最好别低于这个温度,中性,1.0
外面的温度最好别低于这个温度！ 新闻真的莫名其妙。低于这个温度是不能活啊。,广东,男,8448,82,121,2025-07-16 10:09:49+08:00,开空调最好别低于这个温度,积极,1.0
放屁,浙江,女,348,873,981,2025-07-16 10:09:14+08:00,开空调最好别低于这个温度,中性,0.33000001311302185
Qnmd,河南,男,933,433,1095,2025-07-16 10:09:08+08:00,开空调最好别低于这个温度,中性,0.3499999940395355
晚上开24冷，开25，6就有一股子酸味,北京,女,4243,741,150,2025-07-16 10:09:03+08:00,开空调最好别低于这个温度,积极,1.0
看了下评论区大家看法不一，作为最近想买空调的东北人之一，也有浏览大量选购帖子，发现大家已经安装过空调的家庭，夏天空调的制冷效果不一。,吉林,女,429,870,1377,2025-07-16 10:08:36+08:00,开空调最好别低于这个温度,积极,1.0
是不是放个屁都要上微博热搜,辽宁,男,802,1712,11884,2025-07-16 10:07:42+08:00,开空调最好别低于这个温度,中性,0.7400000095367432
医生，你先把空调关了再说,安徽,男,30,23,72,2025-07-16 10:07:41+08:00,开空调最好别低于这个温度,中性,0.699999988079071
其实我一般开29度,江苏,女,4407,1259,4198,2025-07-16 10:07:37+08:00,开空调最好别低于这个温度,积极,0.5699999928474426
@打工人缺觉魂,北京,女,606,329,3990,2025-07-16 10:07:31+08:00,开空调最好别低于这个温度,中性,0.7900000214576721
26度还开个屁空调,广东,男,27,49,4,2025-07-16 10:06:50+08:00,开空调最好别低于这个温度,中性,0.6600000262260437
收到，谢谢主子,四川,女,2,8,1,2025-07-16 10:06:05+08:00,开空调最好别低于这个温度,中性,0.36000001430511475
转发微博,浙江,男,315,484,3941,2025-07-16 10:05:53+08:00,开空调最好别低于这个温度,中性,0.36000001430511475
@宥宥爸爸s,辽宁,女,645,601,6798,2025-07-16 10:05:28+08:00,开空调最好别低于这个温度,中性,0.36000001430511475
开26度不得中暑？,广东,男,6,253,59,2025-07-16 10:05:09+08:00,开空调最好别低于这个温度,中性,0.38999998569488525
办公室基本全女生，一到冬夏两季就会开启空调大战，怕热的开16度18度，怕冷的椅背上放着不同厚度的外套，穿上外套之后忍一段时间，就去把空调温度调高或者直接关，然后怕热的再去开。。空调在门口墙上，按的时候声音挺大，大家都能听到，每天都如此循环,北京,女,251,296,3209,2025-07-16 10:05:07+08:00,开空调最好别低于这个温度,积极,1.0
写这报道的编辑是不是nc？,江苏,男,875,427,1690,2025-07-16 10:05:05+08:00,开空调最好别低于这个温度,中性,0.7099999785423279
中日友好不了一点,四川,女,3,19,80,2025-07-16 10:04:59+08:00,开空调最好别低于这个温度,中性,0.5099999904632568
那为什么要设计低于这个温度，是不是可以起诉厂商？,广东,男,102,102,37,2025-07-16 10:03:49+08:00,开空调最好别低于这个温度,积极,0.5799999833106995
户外40度你给我说开26度以上,四川,男,114,308,345,2025-07-16 10:03:43+08:00,开空调最好别低于这个温度,积极,1.0
26我还开尼玛的空调啊,四川,男,68,110,9,2025-07-16 10:03:24+08:00,开空调最好别低于这个温度,中性,0.7400000095367432
空调26°就合适，接的高铁的活吗,北京,男,24,135,117,2025-07-16 10:03:20+08:00,开空调最好别低于这个温度,中性,0.8199999928474426
我怎么感觉好像刷到过这个呢。而且也是通过同样的热搜。,海外,女,337,560,7389,2025-07-16 10:02:57+08:00,开空调最好别低于这个温度,中性,1.0
我上班干活时候能把空调开成16，歇下来后调22（穿长衣长裤）,辽宁,女,8,319,280,2025-07-16 10:02:39+08:00,开空调最好别低于这个温度,中性,0.9900000095367432
谁理你们,江西,女,202,1088,1918,2025-07-16 10:02:37+08:00,开空调最好别低于这个温度,积极,0.5699999928474426
别放屁 我自己空调 我想咋吹咋吹 我舒服就完了呗,辽宁,男,110,408,155,2025-07-16 10:02:01+08:00,开空调最好别低于这个温度,中性,0.8399999737739563
想开多少开多少，别听它放屁,河北,男,71,68,9,2025-07-16 10:00:38+08:00,开空调最好别低于这个温度,积极,0.9800000190734863
好搞笑，之前 26 度空调把我吹感冒了，喉咙难受身体虚弱，吹 25 以下就没事,香港,女,3,4,17,2025-07-16 10:00:27+08:00,开空调最好别低于这个温度,积极,1.0
放屁！我试了，热死！,北京,女,823,234,3159,2025-07-16 10:00:26+08:00,开空调最好别低于这个温度,中性,0.5600000023841858
28度都有点冷,河南,男,288,43,482,2025-07-16 10:00:26+08:00,开空调最好别低于这个温度,中性,0.41999998688697815
吹风扇是不是更好？,河北,男,36,362,2752,2025-07-16 10:00:06+08:00,开空调最好别低于这个温度,中性,0.46000000834465027
这医院就好比抗日时期的大东亚共荣圈,广西,男,30,56,147,2025-07-16 10:00:01+08:00,开空调最好别低于这个温度,中性,0.8600000143051147
我也是中医，我就要开22度，我就要开16度,四川,男,143,399,900,2025-07-16 09:59:57+08:00,开空调最好别低于这个温度,消极,0.949999988079071
28都冷,广东,男,64,563,1030,2025-07-16 09:59:21+08:00,开空调最好别低于这个温度,中性,0.47999998927116394
还这个温度，直接写26度能亖吗,北京,女,1275,614,9541,2025-07-16 09:58:53+08:00,开空调最好别低于这个温度,中性,0.8899999856948853
睡前29°之后30°主要没有32°,江苏,女,67,71,107,2025-07-16 09:58:46+08:00,开空调最好别低于这个温度,积极,0.9599999785423279
我一般开26度,陕西,女,282,1166,369,2025-07-16 09:56:53+08:00,开空调最好别低于这个温度,中性,0.41999998688697815
开28,北京,男,100,153,57,2025-07-16 09:56:24+08:00,开空调最好别低于这个温度,积极,0.46000000834465027
20,广东,女,1067,1317,2257,2025-07-16 09:55:55+08:00,开空调最好别低于这个温度,中性,0.3199999928474426
@应获德芙的雾里学家 破案了 你是空调病,海外,女,716,478,3910,2025-07-16 09:54:50+08:00,开空调最好别低于这个温度,积极,0.7799999713897705
我开26度有时候还觉得稍微有点凉呢，没办法寒凉体质，就怕冷,海外,女,444,232,4697,2025-07-16 09:54:29+08:00,开空调最好别低于这个温度,消极,0.9800000190734863
1,上海,男,320,1618,1036,2025-07-16 09:54:17+08:00,开空调最好别低于这个温度,中性,0.36000001430511475
阴凉的地方还行，我们办公室一面都是晒着只能开18度，然后室内30度。,四川,男,1033,426,3250,2025-07-16 09:53:56+08:00,开空调最好别低于这个温度,积极,1.0
干你屁事 我就爱开20度,上海,男,277,33,0,2025-07-16 09:53:38+08:00,开空调最好别低于这个温度,积极,0.8999999761581421
26度和不开有啥区别呢？,辽宁,男,491,252,163,2025-07-16 09:52:57+08:00,开空调最好别低于这个温度,积极,0.8899999856948853
dsb,北京,男,1,31,1,2025-07-16 09:52:44+08:00,开空调最好别低于这个温度,中性,0.3700000047683716
每个人的体质不同，各地湿度也不一样 ，单纯一刀切压根就不科学，按自己情况不过度贪凉即可，我家一般室温控制在23度，我感觉很舒适,湖北,女,145,390,1911,2025-07-16 09:52:39+08:00,开空调最好别低于这个温度,积极,1.0
回复@一巴掌打四个人的美艳大小姐:是医术还是医德不行吗？比湖南湘雅强吧。,四川,男,1033,426,3250,2025-07-16 09:52:39+08:00,开空调最好别低于这个温度,积极,1.0
我的20度算什么,黑龙江,女,89,586,37,2025-07-16 09:52:35+08:00,开空调最好别低于这个温度,中性,0.3799999952316284
中日友好医院是什么东西,广东,男,184,354,244,2025-07-16 09:52:28+08:00,开空调最好别低于这个温度,中性,0.49000000953674316
中日不可能友好。,山东,男,183,180,168,2025-07-16 09:52:28+08:00,开空调最好别低于这个温度,中性,0.5699999928474426
@十十开心-,湖北,男,272,131,195,2025-07-16 09:50:59+08:00,开空调最好别低于这个温度,中性,0.5799999833106995
我的房间没有树的遮挡  室内温度高达32度  开22度空调  依然有28度  开26是要把我热死吧,四川,女,49,354,31,2025-07-16 09:50:56+08:00,开空调最好别低于这个温度,消极,0.9900000095367432
昨天21度睡的,陕西,男,40586,153,931,2025-07-16 09:49:35+08:00,开空调最好别低于这个温度,中性,0.6800000071525574
这个这个这个，你就不能打出来？非骗人进来,山东,男,257,628,1184,2025-07-16 09:49:30+08:00,开空调最好别低于这个温度,中性,0.699999988079071
@四季和远方_,黑龙江,女,887,276,1920,2025-07-16 09:49:23+08:00,开空调最好别低于这个温度,积极,0.5899999737739563
这两天郑州室外温度都在40℃以上，在室内开26℃跟没开差不多。医生的话不能不信，也不能全信，还是开24℃最舒服。,河南,男,59,165,10,2025-07-16 09:48:28+08:00,开空调最好别低于这个温度,积极,1.0
还不低于26度，就重庆这40度天气，开26度相当于没开,重庆,男,1640,372,2170,2025-07-16 09:48:14+08:00,开空调最好别低于这个温度,中性,1.0
。。。。。。。,内蒙古,男,260,161,0,2025-07-16 09:46:17+08:00,开空调最好别低于这个温度,中性,1.0
不低于哪个温度？,江苏,男,172,187,806,2025-07-16 09:46:08+08:00,开空调最好别低于这个温度,中性,0.7799999713897705
一直24℃,辽宁,女,200,106,689,2025-07-16 09:44:36+08:00,开空调最好别低于这个温度,中性,0.4099999964237213
废话真多,陕西,女,166,189,812,2025-07-16 09:44:36+08:00,开空调最好别低于这个温度,中性,0.4399999976158142
这个医院就算了,天津,男,155,3442,7706,2025-07-16 09:43:42+08:00,开空调最好别低于这个温度,中性,0.800000011920929
最近咳嗽，喉咙痛也是这个原因引起的吗？,山西,女,5,576,953,2025-07-16 09:43:04+08:00,开空调最好别低于这个温度,中性,0.949999988079071
你想让我们省电直说,福建,男,6,42,98,2025-07-16 09:41:58+08:00,开空调最好别低于这个温度,积极,0.8700000047683716
西安都43了你让我不低于26？,上海,女,72,131,790,2025-07-16 09:41:36+08:00,开空调最好别低于这个温度,中性,0.8299999833106995
标题不能直接说不能低于26吗，非要玩点击率？,江苏,女,586,205,10491,2025-07-16 09:40:53+08:00,开空调最好别低于这个温度,中性,0.8700000047683716
@x·小路,北京,女,144,350,72,2025-07-16 09:40:44+08:00,开空调最好别低于这个温度,中性,0.41999998688697815
26度空调会臭,北京,女,72,139,266,2025-07-16 09:40:42+08:00,开空调最好别低于这个温度,中性,0.5199999809265137
恰恰相反，我就是26度以下，每天先22度，屋里温度降下来了就固定25度。单位里20度……,四川,女,99,274,2930,2025-07-16 09:40:36+08:00,开空调最好别低于这个温度,积极,1.0
这个号快养成了啊，厉害,浙江,男,35,619,5,2025-07-16 09:38:31+08:00,开空调最好别低于这个温度,中性,0.8399999737739563
中国人用点能源怎么了？,上海,男,126,76,108,2025-07-16 09:38:15+08:00,开空调最好别低于这个温度,中性,0.6700000166893005
那就不要设置这个温度,山东,女,843,251,15445,2025-07-16 09:35:48+08:00,开空调最好别低于这个温度,中性,0.699999988079071
中日友好医院，你就不要出来找存在感了吧,重庆,女,629,480,6075,2025-07-16 09:34:03+08:00,开空调最好别低于这个温度,积极,0.5199999809265137
开22体感28，外面四十度,陕西,女,171,246,308,2025-07-16 09:32:22+08:00,开空调最好别低于这个温度,积极,0.8799999952316284
27度就觉得冷,甘肃,女,112,141,316,2025-07-16 09:30:31+08:00,开空调最好别低于这个温度,中性,0.6600000262260437
放屁,陕西,男,367,1127,1520,2025-07-16 09:28:20+08:00,开空调最好别低于这个温度,中性,0.33000001311302185
he tui~,北京,女,47,750,482,2025-07-16 09:27:56+08:00,开空调最好别低于这个温度,中性,0.3400000035762787
空调20度跟没开一样，每天都是20度加开风扇，才有一些凉意，不然没法睡，热到流汗那种,河南,男,137,298,28,2025-07-16 09:24:50+08:00,开空调最好别低于这个温度,积极,1.0
我26还感到热啊,海外,男,187,191,41,2025-07-16 09:23:05+08:00,开空调最好别低于这个温度,中性,0.8399999737739563
我要空调来干嘛？摆设吗？,广东,男,308,152,97,2025-07-16 09:20:27+08:00,开空调最好别低于这个温度,中性,0.8799999952316284
要看室内温度好吧 营销号真是无脑,辽宁,女,239,122,1058,2025-07-16 09:14:57+08:00,开空调最好别低于这个温度,积极,0.9900000095367432
你热搜不会直接写26？,浙江,女,5,29,44,2025-07-16 09:15:59+08:00,开空调最好别低于这个温度,积极,0.7699999809265137
别说，真的容易感冒，我发现开26度及以上后，开个小风扇，不对着头吹，这样也很凉快，而且好像有点通风的效果！,陕西,男,21,34,257,2025-07-16 09:03:32+08:00,开空调最好别低于这个温度,积极,1.0
你管人开多少度呢？,北京,男,268,179,2682,2025-07-16 09:59:11+08:00,开空调最好别低于这个温度,积极,0.9399999976158142
你管我开多少度，你中日友好医院算个什么玩意,湖北,女,217,32,240,2025-07-16 10:05:54+08:00,开空调最好别低于这个温度,积极,1.0
27度天天冷醒  主要还有个黄古林凉席,广东,男,8,31,5,2025-07-16 09:58:56+08:00,开空调最好别低于这个温度,中性,0.25999999046325684
“人们长期在空调冷风环境下工作和生活，出现头晕、头痛、食欲不振、发热咳嗽、关节酸痛等” —— 胡说八道。只要温度不过低，不长时间直接吹风，哪里会有什么病。这个是砖家，不是专家。,海外,男,126,79,7714,2025-07-16 09:56:02+08:00,开空调最好别低于这个温度,积极,1.0
不低于26度，难不成开30度吗,河南,女,29,90,418,2025-07-16 09:52:52+08:00,开空调最好别低于这个温度,积极,0.9200000166893005
转发微博,河南,男,25,439,41527,2025-07-16 09:47:53+08:00,开空调最好别低于这个温度,中性,0.36000001430511475
每天25,湖北,女,0,39,11,2025-07-16 09:41:50+08:00,开空调最好别低于这个温度,积极,0.4399999976158142
上海太热了，不开空调受不了,上海,男,1,26,3,2025-07-16 09:04:21+08:00,开空调最好别低于这个温度,中性,1.0
好,广东,女,0,21,0,2025-07-15 23:46:18+08:00,开空调最好别低于这个温度,中性,0.3199999928474426
友好个批,陕西,男,1,5,0,2025-07-16 10:03:07+08:00,开空调最好别低于这个温度,中性,0.4099999964237213
我都开23 度才凉快,浙江,女,163,652,1917,2025-07-16 09:55:30+08:00,开空调最好别低于这个温度,积极,0.6600000262260437
扯淡，26 度会热死人,广东,男,7,315,17,2025-07-16 09:38:50+08:00,开空调最好别低于这个温度,中性,0.5
好,上海,女,93,5154,3905,2025-07-16 06:06:32+08:00,开空调最好别低于这个温度,中性,0.3199999928474426
笑死，你还记得空调是用来干嘛的吗？蠢货，买来不让自己舒服是不是傻啊,海南,男,151,140,507,2025-07-16 10:10:59+08:00,开空调最好别低于这个温度,积极,1.0
以偏概全的东西，最恶心了,北京,女,131,424,3972,2025-07-16 10:10:25+08:00,开空调最好别低于这个温度,中性,0.9200000166893005
#开空调最好别低于这个温度# 我觉得还要看空调的性能和你的环境大小，温度不绝对，主要是看体感,湖北,男,604641,598,3772,2025-07-16 10:03:32+08:00,开空调最好别低于这个温度,积极,1.0
什么垃圾建议，我想开几度就几度…,广东,男,1502,359,1775,2025-07-16 09:53:21+08:00,开空调最好别低于这个温度,中性,0.949999988079071
空调电风扇一起感觉省电,广东,女,586,3254,2535,2025-07-16 09:25:06+08:00,开空调最好别低于这个温度,中性,0.9700000286102295
27度够了,浙江,女,1952,4958,4100,2025-07-16 09:24:25+08:00,开空调最好别低于这个温度,中性,0.44999998807907104
从来没这么用过,福建,女,1163,5410,4623,2025-07-16 09:24:15+08:00,开空调最好别低于这个温度,中性,0.7699999809265137
祛湿+26度,海外,女,383,1243,55733,2025-07-16 09:24:44+08:00,开空调最好别低于这个温度,中性,0.550000011920929
一般我都维持在27就行了,河北,女,13437,2803,72535,2025-07-16 09:23:16+08:00,开空调最好别低于这个温度,积极,0.5799999833106995
确实是,辽宁,女,898,5309,23568,2025-07-16 09:23:10+08:00,开空调最好别低于这个温度,中性,0.3799999952316284
反正来一整天,江苏,女,1928,8270,9268,2025-07-16 09:25:38+08:00,开空调最好别低于这个温度,积极,0.49000000953674316
无所谓,海外,男,316,998,22784,2025-07-16 09:23:11+08:00,开空调最好别低于这个温度,中性,0.5600000023841858
试试,天津,女,175,1750,33954,2025-07-16 09:27:30+08:00,开空调最好别低于这个温度,中性,0.46000000834465027
没有,天津,女,28,958,20628,2025-07-16 09:24:13+08:00,开空调最好别低于这个温度,中性,0.28999999165534973
无所谓,福建,男,657,4411,4980,2025-07-16 09:23:50+08:00,开空调最好别低于这个温度,中性,0.5600000023841858
我开27℃,台湾,女,463,300,269,2025-07-16 09:23:10+08:00,开空调最好别低于这个温度,中性,0.41999998688697815
省电靠模式，温度26起步,海外,女,1803185,19,110,2025-07-16 09:35:47+08:00,开空调最好别低于这个温度,积极,0.7200000286102295
嗯，是这个样子的,广东,女,2830,8585,6972,2025-07-16 09:23:26+08:00,开空调最好别低于这个温度,中性,0.41999998688697815
还没试过,福建,女,163,4244,5748,2025-07-16 09:23:29+08:00,开空调最好别低于这个温度,中性,0.6299999952316284
空调开26.7度还有啥意义必须lo,天津,男,266,295,607,2025-07-16 10:05:29+08:00,开空调最好别低于这个温度,中性,0.5
睡觉开28度还要盖个毛巾被,湖南,男,31,30,5,2025-07-16 09:58:54+08:00,开空调最好别低于这个温度,中性,0.949999988079071
不开最省电   买的起马 还配不起鞍了,陕西,男,30,42,160,2025-07-16 09:52:54+08:00,开空调最好别低于这个温度,积极,0.9900000095367432
风速自动呢,北京,女,483,2142,1822,2025-07-16 09:51:03+08:00,开空调最好别低于这个温度,中性,0.4699999988079071
等下去试试,福建,男,163,2895,2386,2025-07-16 09:23:39+08:00,开空调最好别低于这个温度,中性,0.5299999713897705
所谓26度就是扯淡，毫无科学依据，就是当年绿发组织之类为了自己利益大忽悠的，和每天关灯一分钟一样。,安徽,男,1503,720,9595,2025-07-16 09:52:11+08:00,开空调最好别低于这个温度,积极,1.0
可以,天津,女,1439,1075,31441,2025-07-16 09:26:21+08:00,开空调最好别低于这个温度,中性,0.3799999952316284
哦，最近多吃点猪肉,河南,女,21055,7566,8074,2025-10-28 10:30:33+08:00,猪肉自由了,积极,0.6499999761581421
牛羊肉大涨是什么原因,福建,男,23554,2101,4678,2025-10-28 07:58:21+08:00,猪肉自由了,中性,0.4000000059604645
猪肉太便宜,山东,男,154604,17619,121607,2025-10-28 07:39:36+08:00,猪肉自由了,中性,0.6700000166893005
大概因为又到了吃火锅的季节,黑龙江,女,112323,2718,4630,2025-10-28 07:38:06+08:00,猪肉自由了,积极,0.9300000071525574
牛羊肉确实涨了不少,湖北,男,12383,4488,3201,2025-10-28 07:37:48+08:00,猪肉自由了,中性,0.8899999856948853
吃永远在第一位,浙江,女,12679,2894,2116,2025-10-28 07:39:26+08:00,猪肉自由了,积极,0.8199999928474426
牛羊肉真的越来越吃不起了,广东,女,127041,1384,4611,2025-10-28 13:24:40+08:00,猪肉自由了,中性,0.8399999737739563
价格涨涨跌跌的循环,山东,女,12384,3282,2809,2025-10-28 08:17:12+08:00,猪肉自由了,中性,0.8799999952316284
牛肉没有肥的,北京,男,222846,1988,22677,2025-10-28 08:16:21+08:00,猪肉自由了,中性,0.33000001311302185
现在懂得养生了,山东,男,38574,11739,60753,2025-10-28 07:52:09+08:00,猪肉自由了,中性,0.41999998688697815
猪肉确实很便宜了,山东,女,122239,11268,19579,2025-10-28 07:38:45+08:00,猪肉自由了,中性,0.5199999809265137
养的猪人太多了,北京,男,28383,11477,1971,2025-10-28 07:52:48+08:00,猪肉自由了,中性,0.8700000047683716
继续贴贴,河南,女,33333,3641,4737,2025-04-26 00:58:13+08:00,猪肉自由了,中性,0.38999998569488525
互关鸭,江西,女,11627,7260,1919,2025-04-26 00:15:54+08:00,猪肉自由了,中性,0.4000000059604645
美国搬起石头砸自己的脚,北京,男,2841,1375,1169,2025-04-25 23:18:56+08:00,猪肉自由了,积极,0.8600000143051147
回复@财麻瓜呀 的表态:早,山西,女,7304,4804,5710,2025-04-26 06:39:04+08:00,猪肉自由了,积极,0.6700000166893005
回复@财白银 的表态:好,山西,女,7304,4804,5710,2025-04-26 06:38:59+08:00,猪肉自由了,积极,0.5
晚上好！,云南,女,9767,9654,470,2025-04-25 23:37:02+08:00,猪肉自由了,积极,0.47999998927116394
哦，最近多吃点猪肉,河南,女,21083,7577,8085,2025-10-28 10:30:33+08:00,猪肉自由了,积极,0.6499999761581421
牛羊肉大涨是什么原因,福建,男,23562,2101,4678,2025-10-28 07:58:21+08:00,猪肉自由了,中性,0.4000000059604645
猪肉太便宜,山东,男,154658,17667,121630,2025-10-28 07:39:36+08:00,猪肉自由了,中性,0.6700000166893005
大概因为又到了吃火锅的季节,黑龙江,女,112319,2718,4633,2025-10-28 07:38:06+08:00,猪肉自由了,积极,0.9300000071525574
牛羊肉确实涨了不少,湖北,男,12378,4488,3211,2025-10-28 07:37:48+08:00,猪肉自由了,中性,0.8899999856948853
吃永远在第一位,浙江,女,12681,2908,2119,2025-10-28 07:39:26+08:00,猪肉自由了,积极,0.8199999928474426
牛羊肉真的越来越吃不起了,广东,女,127083,1384,4618,2025-10-28 13:24:40+08:00,猪肉自由了,中性,0.8399999737739563
价格涨涨跌跌的循环,山东,女,12381,3282,2813,2025-10-28 08:17:12+08:00,猪肉自由了,中性,0.8799999952316284
牛肉没有肥的,北京,男,222818,1996,22707,2025-10-28 08:16:21+08:00,猪肉自由了,中性,0.33000001311302185
现在懂得养生了,山东,男,38661,11742,60760,2025-10-28 07:52:09+08:00,猪肉自由了,中性,0.41999998688697815
猪肉确实很便宜了,山东,女,122268,11274,19590,2025-10-28 07:38:45+08:00,猪肉自由了,中性,0.5199999809265137
养的猪人太多了,北京,男,28100,11477,1985,2025-10-28 07:52:48+08:00,猪肉自由了,中性,0.8700000047683716
继续贴贴,河南,女,33343,3642,4738,2025-04-26 00:58:13+08:00,猪肉自由了,中性,0.38999998569488525
互关鸭,江西,女,11625,7260,1919,2025-04-26 00:15:54+08:00,猪肉自由了,中性,0.4000000059604645
美国搬起石头砸自己的脚,北京,男,2840,1375,1169,2025-04-25 23:18:56+08:00,猪肉自由了,积极,0.8600000143051147
回复@财麻瓜呀 的表态:早,山西,女,7321,4804,5711,2025-04-26 06:39:04+08:00,猪肉自由了,积极,0.6700000166893005
回复@财白银 的表态:好,山西,女,7321,4804,5711,2025-04-26 06:38:59+08:00,猪肉自由了,积极,0.5
宝宝你是一战直接上岸的嘛还是二战呀 我一战备考一半放弃了 其实我现在还是有这个想法但是因为上班没有决心,河南,女,47,128,164,2026-04-18 17:17:12+08:00,考研,积极,1.0
宝宝你二战是什么时候开始的呀，换学校了吗,河南,女,21,290,599,2026-04-20 02:09:36+08:00,考研,积极,1.0
最紧锁考研英语📖做的很自闭 别人做对的越多我错的越多 明明自己英语也不差,广东,女,0,22,3,2026-04-20 12:53:04+08:00,考研,积极,1.0
谢谢宝宝我会努力的,山东,女,53,1312,3991,2026-04-18 17:52:58+08:00,考研,积极,0.800000011920929
bb想问问你二战是在哪备考的啊 感觉在家会学不进去但在外租房又是一大笔开销,四川,女,4,580,178,2026-04-19 00:28:35+08:00,考研,积极,0.9900000095367432
失眠怎么办,广东,女,285,307,8739,2026-04-18 23:06:26+08:00,考研,中性,0.6299999952316284
谢谢宝宝分享,陕西,女,36,425,88,2026-04-18 20:33:50+08:00,考研,积极,0.75
Mark笔记(๑•̀ω•́๑)📝,北京,女,542,530,1780,2026-04-23 16:15:32+08:00,考研,中性,0.4099999964237213
宝宝我想问一下一天一篇真题阅读是先练老题再练新题嘛，真题练完了是从头重新开始再练一遍嘛,安徽,女,341,857,7215,2026-04-19 19:09:02+08:00,考研,积极,1.0
谢谢宝宝分享,江苏,男,79,2170,119,2026-04-20 22:29:46+08:00,考研,积极,0.75
谢谢宝宝！,海外,女,30,342,756,2026-04-18 23:20:40+08:00,考研,积极,0.7799999713897705
加油考研人,山东,女,8977,2824,2166,2026-04-01 20:30:27+08:00,考研,中性,0.27000001072883606
